agencia,ais,area_faccao,arma,bairro,cidade,comment,consolidado,data,database,editar,excluir,hora,id,id_evento,idade,latitude,longitude,name,sexo,tipo,tipo_evento,type,version,dia_semana,eh_feriado,dia_quente_cvp,clima,precipitacao_mm,qtd_mortes,nature
2.0,2.0,,,AUTRAN NUNES,Fortaleza,,Sim,2026-05-13,,,,08:54:40,78770,4428130.0,,-3.7988910754,-38.6015730048,RUA SÃO FRANCISCO DO JARDIM,NONE,cvp,ROUBO A PESSOA,,,Quarta-feira,False,False,,,,ROUBO A PESSOA
2.0,2.0,,,AUTRAN NUNES,Fortaleza,,Sim,2026-05-13,,,,08:54:40,78907,4429408.0,,-3.7988910754,-38.6015730048,RUA SÃO FRANCISCO DO JARDIM,NONE,cvp,ROUBO A PESSOA,,,Quarta-feira,False,False,,,,ROUBO A PESSOA
2.0,5.0,,,AEROLANDIA,Fortaleza,,Sim,2026-05-13,,,,07:29:57,78771,4428129.0,,-3.7370750176,-38.5444183304,AVENIDA JOVITA FEITOSA,NONE,cvp,ROUBO A PESSOA,,,Quarta-feira,False,False,,,,ROUBO A PESSOA
2.0,5.0,,,AEROLANDIA,Fortaleza,,Sim,2026-05-13,,,,07:29:57,78908,4429407.0,,-3.7370750176,-38.5444183304,AVENIDA JOVITA FEITOSA,NONE,cvp,ROUBO A PESSOA,,,Quarta-feira,False,False,,,,ROUBO A PESSOA
2.0,10.0,,,ALDEOTA,Fortaleza,,Sim,2026-05-13,,,,05:05:38,78769,4428128.0,,-3.7230184143,-38.5063786425,RUA MONSENHOR BRUNO,NONE,cvp,ROUBO A PESSOA,,,Quarta-feira,False,False,,,,ROUBO A PESSOA
2.0,10.0,,,ALDEOTA,Fortaleza,,Sim,2026-05-13,,,,05:05:38,78909,4429406.0,,-3.7230184143,-38.5063786425,RUA MONSENHOR BRUNO,NONE,cvp,ROUBO A PESSOA,,,Quarta-feira,False,False,,,,ROUBO A PESSOA
2.0,3.0,,,ANCURI,Fortaleza,,Sim,2026-05-12,,,,23:43:25,78766,4428127.0,,-3.8311700822,-38.4891952949,RUA ANTÔNIO BARROS,NONE,cvp,ROUBO A PESSOA,,,Terça-feira,False,False,,,,ROUBO A PESSOA
2.0,23.0,,Arma de fogo,,Trairi,,Sim,2026-05-12,,,,22:30:00,78644,4427703.0,15.0,-3.2208178984,-39.3719444037,RUA HOSPITAL,M,cvli,HOMICIDIO DOLOSO,,,Terça-feira,False,False,,,1.0,HOMICIDIO DOLOSO
2.0,20.0,,,,Quixeramobim,,Sim,2026-05-12,,,,21:59:56,78761,4428173.0,,-5.1884412458,-39.2887958789,AVENIDA HUMBERTO SENA,NONE,cvp,ROUBO A ESTABELECIMENTO COMERCIAL,,,Terça-feira,False,False,,,,ROUBO A ESTABELECIMENTO COMERCIAL
2.0,17.0,,Arma de fogo,ITAPAJE,Itapajé,,Sim,2026-05-12,,,,20:40:00,78646,4427679.0,18.0,-3.7530415448,-39.5447228742,POVOADO AREIAS,M,cvli,HOMICIDIO DOLOSO,,,Terça-feira,False,False,,,1.0,HOMICIDIO DOLOSO
2.0,14.0,,,,Sobral,,Sim,2026-05-12,,,,16:56:32,78762,4428181.0,,-3.6818480106,-40.3412816118,AVENIDA DOUTOR GUARANI,NONE,cvp,ROUBO A RESIDÊNCIA,,,Terça-feira,False,False,,,,ROUBO A RESIDÊNCIA
2.0,20.0,,Arma de fogo,,Quixadá,,Sim,2026-05-12,,,,16:50:00,78641,4427695.0,42.0,-4.9652001982,-39.0357226742,RUA ABRAÃO BAQUIT,M,cvli,HOMICIDIO DOLOSO,,,Terça-feira,False,False,,,1.0,HOMICIDIO DOLOSO
2.0,9.0,,,BOM JARDIM,Fortaleza,,Sim,2026-05-12,,,,15:21:40,78763,4428124.0,,-3.8208561678,-38.5862957792,RUA F,NONE,cvp,ROUBO A ESTABELECIMENTO COMERCIAL,,,Terça-feira,False,False,,,,ROUBO A ESTABELECIMENTO COMERCIAL
2.0,21.0,,Arma branca,,Jucás,,Sim,2026-05-12,,,,10:53:00,78645,4427684.0,60.0,-6.4778117478,-39.4576175065,CE-375,M,cvli,HOMICIDIO DOLOSO,,,Terça-feira,False,False,,,1.0,HOMICIDIO DOLOSO
2.0,7.0,,,AEROLANDIA,Fortaleza,,Sim,2026-05-12,,,,07:53:02,78640,4427559.0,,-3.8036615649,-38.4931147037,AVENIDA ENGENHEIRO AGRÔNOMO JOSÉ GUIMARÃES DUQUE,NONE,cvp,ROUBO A PESSOA,,,Terça-feira,False,False,,,,ROUBO A PESSOA
2.0,7.0,,,AEROLANDIA,Fortaleza,,Sim,2026-05-12,,,,07:53:02,78764,4428122.0,,-3.8036615649,-38.4931147037,AVENIDA ENGENHEIRO AGRÔNOMO JOSÉ GUIMARÃES DUQUE,NONE,cvp,ROUBO A PESSOA,,,Terça-feira,False,False,,,,ROUBO A PESSOA
2.0,8.0,,,AMADEU FURTADO,Fortaleza,,Sim,2026-05-12,,,,07:31:42,78639,4427558.0,,-3.7174055163,-38.595457432,AVENIDA MOZART PINHEIRO DE LUCENA,NONE,cvp,ROUBO A FARMÁCIA,,,Terça-feira,False,False,,,,ROUBO A FARMÁCIA
2.0,8.0,,,AMADEU FURTADO,Fortaleza,,Sim,2026-05-12,,,,07:31:42,78765,4428121.0,,-3.7174055163,-38.595457432,AVENIDA MOZART PINHEIRO DE LUCENA,NONE,cvp,ROUBO A FARMÁCIA,,,Terça-feira,False,False,,,,ROUBO A FARMÁCIA
2.0,20.0,,Arma de fogo,,Pedra Branca,,Sim,2026-05-12,,,,07:30:00,78642,4427692.0,27.0,-5.4552617742,-39.7150013448,BR-226,M,cvli,HOMICIDIO DOLOSO,,,Terça-feira,False,False,,,1.0,HOMICIDIO DOLOSO
2.0,20.0,,Arma de fogo,,Morada Nova,,Sim,2026-05-12,,,,06:17:00,78643,4427687.0,39.0,-4.5743566271,-38.3588573448,RUA FRANCISCO GALVÃO,M,cvli,HOMICIDIO DOLOSO,,,Terça-feira,False,False,,,1.0,HOMICIDIO DOLOSO
2.0,10.0,,,AEROLANDIA,Fortaleza,,Sim,2026-05-12,,,,05:53:29,78638,4427557.0,,-3.7832268068,-38.4816392467,RUA ANTÔNIO FORTES,NONE,cvp,ROUBO A PESSOA,,,Terça-feira,False,False,,,,ROUBO A PESSOA
2.0,10.0,,,AEROLANDIA,Fortaleza,,Sim,2026-05-12,,,,05:53:29,78767,4428120.0,,-3.7832268068,-38.4816392467,RUA ANTÔNIO FORTES,NONE,cvp,ROUBO A PESSOA,,,Terça-feira,False,False,,,,ROUBO A PESSOA
2.0,5.0,,,AEROLANDIA,Fortaleza,,Sim,2026-05-11,,,,20:41:09,78627,4427556.0,,-3.769233963,-38.5165801498,RUA CAPITĀO CLÓVIS MAIA,NONE,cvp,ROUBO A POSTO DE GASOLINA,,,Segunda-feira,False,False,,,,ROUBO A POSTO DE GASOLINA
2.0,22.0,,Arma de fogo,,Quiterianópolis,,Sim,2026-05-11,,,,20:23:00,78523 | 78520,4427148.0,40.0,-5.849272987,-40.7044098038,AVENIDA LAURINDO GOMES,M,cvli,HOMICIDIO DOLOSO,,,Segunda-feira,False,False,,,1.0,HOMICIDIO DOLOSO
