micronodo,area_oficial,faction,lat,long
Tianguazinho,TIANGUA,CV,-3.717518,-40.983712
Ferros,ITAPAJÉ,CV,-3.700501,-39.573988
Cidade de Ubajara,UBAJARA,CV,-3.849957,-40.926075
Cidade de Guaramiranga,GUARAMIRANGA,CV,-4.260742,-38.933886
Armador,ITAPAJÉ,CV,-3.726893,-39.647921
Barateiro,ITAPAJÉ,CV,-3.688812,-39.60255
Padre Lima,ITAPAJÉ,CV,-3.733423,-39.54812
Padre Manoel Lima e Silva,ITAPAJÉ,CV,-3.695578,-39.580119
Pau Ferrado,ITAPAJÉ,CV,-3.676616,-39.595756
Toco- Caucaia,URUCUTUBA,CV,-3.77683,-38.683189
Carrapicho- Caucaia,URUCUTUBA,CV,-3.778683,-38.686292
Cidade de Ocara,OCARA,CV,-4.483473,-38.602684
Cidade de Guaciraba do Norte,GRAÇA,CV,-4.151086,-40.762534
Comunidade do Mangueiral - Quintino Cunha,ANTÔNIO BEZERRA,CV,-3.735276,-38.595516
Cidade de Moraújo,MORAÚJO,CV,-3.465351,-40.681267
Cidade de Farias Brito,ALTANEIRA,CV,-6.921474,-39.569692
Bairro Arariranha- Varjota,PIRES FERREIRA,CV,-4.197586,-40.470784
Urucunema,EUSÉBIO,CV,-3.912648,-38.462409
Comunidade Raquel,GRANJA LISBOA,CV,-3.793266,-38.62636
Comunidade das Antenas,HENRIQUE JORGE,CV,-3.765726,-38.584988
Comunidade do Capim,GENIBAÚ,CV,-3.762096,-38.594405
Santo Amaro- Bom Jardim,BOM JARDIM,CV,-3.796662,-38.602535
Comunidade João XXIII,JOÃO XXIII,CV,-3.770783,-38.587579
Comunidade do Polo da Barra,BARRA DO CEARÁ,CV,-3.696668,-38.586415
Comunidade Coelho Neto ou Vila Amarela,FLORESTA,CV,-3.714398,-38.576563
Conjunto 7 Prédios,BARRA DO CEARÁ,CV,-3.705032,-38.582709
Comunidade do Gato Morto,BARRA DO CEARÁ,CV,-3.707942,-38.588444
Esplanada do Araturi,MARECHAL RONDON,CV,-3.765887,-38.631195
Comunidade do 14,GUADALAJARA,CV,-3.766146,-38.627985
Comunidade Grafiteiros,BARRA DO CEARÁ,CV,-3.709415,-38.580873
Comunidade do Areal,AEROLÂNDIA,CV,-3.779082,-38.512807
Favelinha- Aerolândia,AEROLÂNDIA,CV,-3.77739,-38.514797
Beco do Melão (Complexo do Pirambu),PIRAMBU,CV,-3.711888,-38.554863
Felipe Camarão (Complexo do Pirambu),PIRAMBU,CV,-3.709348,-38.556554
Comunidade do Caldeirão (Complexo do Pirambu),PIRAMBU,CV,-3.708971,-38.552628
Favelinha (Comunidade Izabel),CRISTO REDENTOR,CV,-3.705983,-38.558732
Gesso- Crato,CRATO,CV,-7.231651,-39.406192
Comunidade Graça Aranha,FLORESTA,CV,-3.714781,-38.575498
Nova Metrópole I,URUCUTUBA,CV,-3.761724,-38.652963
Nova Metrópole II,URUCUTUBA,CV,-3.771526,-38.657724
Nova Metrópole V,URUCUTUBA,CV,-3.769869,-38.659835
Conjunto Nova Metrópole,URUCUTUBA,CV,-3.763822,-38.657029
Eldorado,URUCUTUBA,CV,-3.771376,-38.650842
Lagoinha,EUSÉBIO,CV,-3.894599,-38.445456
Buenos Aires I,HORIZONTE,CV,-4.106112,-38.50965
Comunidade da Vertical (Complexo da Rosalina),PASSARÉ,CV,-3.810566,-38.538982
Sítios Novos- Caucaia,CAUCAIA,CV,-3.744318,-38.952839
Aerolândia,AEROLÂNDIA,CV,-3.770648,-38.515006
Blocos- Paupina,SÃO BENTO,CV,-3.849143,-38.482602
Conjunto Habitacional da Rosalina (Complexo da Rosalina),PARQUE DOIS IRMĂOS,CV,-3.807887,-38.548587
Alto de Santa Rita- Redenção,REDENÇÃO,CV,-4.223208,-38.733111
Distrito de Antônio Diogo,REDENÇÃO,CV,-4.309396,-38.746765
Comunidade da Lagoa- Parangaba,PARANGABA,CV,-3.771216,-38.563833
Beco do Porte,PARANGABA,CV,-3.778398,-38.570812
Comunidade do Multirão- Paranguaba,JÓQUEI CLUBE,CV,-3.7779,-38.577098
Boqueirão- Caucaia,CAUCAIA,CV,-3.728492,-38.771266
Comunidade do Alfavila,OLAVO OLIVEIRA,CV,-3.732053,-38.585973
Alto do Bode,AUTRAN NUNES,CV,-3.755751,-38.594525
Brejo,COAÇU,CV,-3.8564,-38.460299
Tamatanduba,SANTA CLARA,CV,-3.871481,-38.474774
Santa Luzia,PEDRAS,CV,-3.887114,-38.510397
Coimbra (Complexo do Pirambu),CRISTO REDENTOR,CV,-3.705753,-38.561471
Planalto- Beberibe,CASCAVEL,CV,-4.183484,-38.147827
Planalto Novo- Beberibe,CASCAVEL,CV,-4.181888,-38.140915
COHAB- Beberibe,CASCAVEL,CV,-4.180478,-38.129007
Praia das Fontes ,CASCAVEL,CV,-4.182007,-38.098669
Cidade de Palmácias,PALMÁCIA,CV,-4.146699,-38.851271
Cidade de Mulungu,MULUNGU,CV,-4.297946,-38.992108
Comunidade Cidade de Deus 1,PARQUE SANTA MARIA,CV,-3.844315,-38.501156
Monte (Canindé),CANINDÉ,CV,-4.362711,-39.32175
Beco da Maravilha,MESSEJANA,CV,-3.829305,-38.489511
Cumbuco,IPARANA,CV,-3.625405,-38.728891
Distrito de Taiba,PARACURU,CV,-3.5121257,-38.8927505
Distrito de Borrachudo,PARACURU,CV,-3.551553,-38.887924
Distrito do Cágado,PARAIPABA,CV,-3.528216,-39.183843
Distrito de Siupé,PARACURU,CV,-3.532317,-38.951472
Distrito de Umarituba,SÃO GONÇALO DO AMARANTE,CV,-3.66628,-38.983295
Distrito de Várzea Redonda,SÃO GONÇALO DO AMARANTE,CV,-3.531966,-39.149281
Distrito de Matuões ,CAUCAIA,CV,-3.574732,-38.827427
Distrito de Bolso,CAUCAIA,CV,-3.616379,-38.85772
