global_rank,micronode_id,score,bairro,regional,faction,longitude,latitude,local_street_pressure,nearby_streets_count,nearby_streets
74,Conjunto Cidade de Deus ou CDD,61.345,BARRA DO CEARÁ,capital,CV,-38.57768966666667,-3.711623733333333,24.24,94,CONJUNTO CIDADE DE DEUS OU CDD; COMUNIDADE GRAFITEIROS; COMUNIDADE OLICAL
75,6 Companheiros,61.27,BARRA DO CEARÁ,capital,CV,-38.57858088888889,-3.7086027777777772,24.299,90,6 COMPANHEIROS; AVENIDA 20 DE JANEIRO; COMUNIDADE GRAFITEIROS
76,LAGOA SECA,61.263,MESSEJANA,capital,CV,-38.49977998888889,-3.8235137666666668,10.707,48,LAGOA SECA; RUA JURITI; RUA SANTA CLARA DE ASSIS
77,Comunidade do HX,61.19,BARRA DO CEARÁ,capital,CV,-38.58005808695653,-3.7017242173913045,23.388,73,COMUNIDADE DO HX; BECO DA POMPEIA; RUA DO LEME
78,Canal (Complexo da Barra do Ceará),61.017,BARRA DO CEARÁ,capital,CV,-38.57688727272727,-3.701610272727273,23.181,76,CANAL (COMPLEXO DA BARRA DO CEARÁ); COMUNIDADE DO CIMPELCO (COMPLEXO DA BARRA DO CEARÁ); 4 VARAS
79,Beco da Pompeia,60.991,BARRA DO CEARÁ,capital,CV,-38.579242,-3.702418833333334,23.947,75,BECO DA POMPEIA; COMUNIDADE DO HX; AREA SEM NOME
80,Beco Da Zeza,60.935,BARRA DO CEARÁ,capital,CV,-38.58026257142857,-3.7043595714285718,23.844,77,BECO DA ZEZA; AREA SEM NOME; AVENIDA 20 DE JANEIRO
81,Comunidade Grafiteiros,60.88,BARRA DO CEARÁ,capital,CV,-38.58043800000001,-3.7104342631578953,23.444,89,COMUNIDADE GRAFITEIROS; COMUNIDADE DO GUETO NOVO; CONJ. JACIARA
82,Beco da 20,60.049,BARRA DO CEARÁ,capital,CV,-38.58260357142857,-3.7061291428571432,22.354,76,BECO DA 20; CONJUNTO 7 PRÉDIOS; LAMA SECA
83,Comunidade do Gueto,60.015,BARRA DO CEARÁ,capital,CV,-38.5822696,-3.7077644,22.281,81,COMUNIDADE DO GUETO; BECO DA 20; CONJUNTO 7 PRÉDIOS
84,Conj. Jaciara,59.948,BARRA DO CEARÁ,capital,CV,-38.58048766666666,-3.712563333333333,22.241,88,CONJ. JACIARA; COMUNIDADE GRAFITEIROS; CONJUNTO CIDADE DE DEUS OU CDD
85,Comunidade do Gueto Novo,59.874,BARRA DO CEARÁ,capital,CV,-38.58282529090909,-3.710131472727272,21.616,83,COMUNIDADE DO GUETO NOVO; COMUNIDADE DO GUETO; COMUNIDADE GRAFITEIROS
86,4 Varas,59.835,BARRA DO CEARÁ,capital,CV,-38.57421770588236,-3.7012234411764706,22.026,77,4 VARAS; COMUNIDADE DO CIMPELCO (COMPLEXO DA BARRA DO CEARÁ); FAVELA DA 3P
87,Cemitério,59.775,MESSEJANA,capital,CV,-38.4924548,-3.836622866666667,9.397,39,RUA COPÉRNICO; CEMITÉRIO; TRAVESSA MARIO BARCELOS
88,Conjunto 7 Prédios,59.748,BARRA DO CEARÁ,capital,CV,-38.583178,-3.7055008000000003,22.076,77,CONJUNTO 7 PRÉDIOS; BECO DA 20; LAMA SECA
89,Favela da 3P,59.667,BARRA DO CEARÁ,capital,CV,-38.57287735714285,-3.7018696071428576,21.836,79,FAVELA DA 3P; 4 VARAS; FAVELA DA CIRANDAR
90,Caic,59.597,GRANJA LISBOA,capital,CV,-38.61722188235294,-3.781109235294117,10.207,46,CAIC; RESIDENCIAL MARIA ALVES CARIOCA; MUTIRÃO DA SÃO FRANCISCO
