w_ewma,w_lgbm,w_hist,w_target,p10,p20,r10,r20
0.3,0.3,0.3,0.1,0.19418604651162794,0.13895348837209306,0.4698089700996677,0.6306893687707641
0.3,0.2,0.3,0.2,0.19418604651162794,0.13662790697674418,0.47106866002214837,0.6169296788482835
0.3,0.4,0.2,0.1,0.1930232558139535,0.13953488372093026,0.4649640088593577,0.6345653377630122
0.3,0.4,0.3,-0.0,0.1930232558139535,0.13953488372093026,0.46690199335548166,0.6345653377630122
0.3,0.6,0.0,0.1,0.19302325581395346,0.14244186046511628,0.46562846068660013,0.6514258028792912
0.3,0.5,0.2,-0.0,0.19186046511627908,0.13953488372093026,0.4633028792912514,0.6345653377630122
0.3,0.3,0.4,-0.0,0.19186046511627908,0.13953488372093026,0.4664174972314507,0.6336794019933555
0.3,0.1,0.4,0.2,0.19186046511627908,0.13546511627906976,0.4664174972314507,0.6116971207087486
0.3,0.2,0.4,0.1,0.19186046511627908,0.13430232558139535,0.4664174972314507,0.6080980066445183
0.3,0.1,0.5,0.1,0.19186046511627908,0.13430232558139535,0.4664174972314507,0.6071290143964563
0.3,0.2,0.5,-0.0,0.19186046511627908,0.13197674418604652,0.4664174972314507,0.5996539313399779
0.3,0.1,0.6,0.0,0.19186046511627908,0.13139534883720932,0.4664174972314507,0.596359357696567
0.3,0.0,0.5,0.2,0.19186046511627908,0.1308139534883721,0.4664174972314507,0.594421373200443
0.3,0.0,0.6,0.1,0.19186046511627908,0.1308139534883721,0.4664174972314507,0.594421373200443
0.3,0.7,0.0,0.0,0.19069767441860466,0.14302325581395348,0.45942691029900323,0.6537513842746401
0.3,0.6,0.1,-0.0,0.19069767441860466,0.13953488372093026,0.45942691029900323,0.638718161683278
0.3,0.0,0.7,0.0,0.19069767441860466,0.1308139534883721,0.4647563676633444,0.594421373200443
0.2,0.2,0.0,0.6,0.17906976744186046,0.13837209302325587,0.44703765227021036,0.626813399778516
0.2,0.0,0.0,0.8,0.17906976744186046,0.13604651162790696,0.44703765227021036,0.6146040974529347
0.2,0.1,0.0,0.7,0.17906976744186046,0.13372093023255816,0.44703765227021036,0.6035575858250276
0.2,0.0,0.1,0.7,0.17906976744186046,0.13139534883720932,0.44703765227021036,0.5960825027685493
0.2,0.3,0.1,0.4,0.17790697674418604,0.1412790697674419,0.4441306755260243,0.6422065337763012
0.2,0.4,0.1,0.3,0.17790697674418604,0.1406976744186047,0.4441306755260243,0.6399916943521595
0.2,0.4,0.2,0.2,0.17790697674418604,0.14011627906976748,0.4441306755260243,0.638330564784053
0.2,0.3,0.2,0.3,0.17790697674418604,0.13779069767441865,0.4441306755260243,0.6285299003322259
0.2,0.2,0.1,0.5,0.17790697674418604,0.13779069767441865,0.4441306755260243,0.6265919158361017
0.2,0.4,0.3,0.1,0.17790697674418604,0.1377906976744186,0.4441306755260243,0.6326135105204872
0.2,0.4,0.4,0.0,0.17790697674418604,0.13720930232558143,0.4441306755260243,0.6276854928017719
0.2,0.3,0.5,0.0,0.17790697674418604,0.1348837209302326,0.4441306755260243,0.6152823920265781
0.2,0.3,0.3,0.2,0.17790697674418604,0.13430232558139538,0.4441306755260243,0.6158361018826134
0.2,0.2,0.2,0.4,0.17790697674418604,0.13430232558139538,0.4441306755260243,0.6114756367663343
0.2,0.1,0.1,0.6,0.17790697674418604,0.13372093023255813,0.4441306755260243,0.6061600221483943
0.2,0.3,0.4,0.1,0.17790697674418604,0.13255813953488377,0.4441306755260243,0.6078073089700996
0.1,0.3,0.2,0.4,0.17790697674418604,0.1325581395348837,0.4441306755260243,0.6085825027685492
0.1,0.3,0.3,0.3,0.17790697674418604,0.1325581395348837,0.4441306755260243,0.60703211517165
0.1,0.3,0.1,0.5,0.17790697674418604,0.13139534883720932,0.4441306755260243,0.6054817275747507
0.2,0.1,0.2,0.5,0.17790697674418604,0.13139534883720932,0.4441306755260243,0.596359357696567
0.1,0.3,0.0,0.6,0.17790697674418604,0.1308139534883721,0.4441306755260243,0.6038205980066444
0.2,0.0,0.2,0.6,0.17790697674418604,0.1308139534883721,0.4441306755260243,0.594421373200443
0.2,0.0,0.3,0.5,0.17790697674418604,0.1308139534883721,0.4441306755260243,0.594421373200443
0.2,0.0,0.4,0.4,0.17790697674418604,0.1308139534883721,0.4441306755260243,0.594421373200443
0.2,0.0,0.5,0.3,0.17790697674418604,0.1308139534883721,0.4441306755260243,0.594421373200443
0.2,0.1,0.3,0.4,0.17790697674418604,0.1308139534883721,0.4441306755260243,0.594421373200443
0.2,0.1,0.4,0.3,0.17790697674418604,0.1308139534883721,0.4441306755260243,0.594421373200443
0.2,0.2,0.3,0.3,0.17790697674418604,0.1308139534883721,0.4441306755260243,0.594421373200443
0.2,0.1,0.6,0.1,0.17790697674418604,0.1308139534883721,0.4441306755260243,0.5943521594684386
0.2,0.1,0.7,0.0,0.17790697674418604,0.1308139534883721,0.4441306755260243,0.5943521594684386
0.1,0.2,0.0,0.7,0.17790697674418604,0.1296511627906977,0.4441306755260243,0.5954042081949058
0.1,0.2,0.1,0.6,0.17790697674418604,0.1296511627906977,0.4441306755260243,0.5938538205980065
0.1,0.3,0.4,0.2,0.17790697674418604,0.1296511627906977,0.4441306755260243,0.5933554817275747
