source,date,lat,lon,bairro_assigned,bairro_text
data_with_coordinates.js,2025-01-07T03:00:00.000Z,-3.915308,-38.59731,,Pavuna
data_with_coordinates.js,2025-01-07T03:00:00.000Z,-3.7483456,-38.5658123,,Bela Vista
data_with_coordinates.js,2025-01-07T03:00:00.000Z,-4.1323287,-38.1270017,,Morro Brancio
data_with_coordinates.js,2025-01-07T03:00:00.000Z,-4.6925716,-37.3840199,,Serra da Mutamba
data_with_coordinates.js,2025-01-08T03:00:00.000Z,-3.799971,-38.569062,,Jardim Cearense
data_with_coordinates.js,2025-01-08T03:00:00.000Z,-3.7201642,-38.5839375,,Jardim Iracema
data_with_coordinates.js,2025-01-07T03:00:00.000Z,-4.3245413,-38.4873229,,Zona Rural
data_with_coordinates.js,2025-01-07T03:00:00.000Z,-5.5517568,-39.5290101,,Alto Alegre
data_with_coordinates.js,2025-01-08T03:00:00.000Z,-3.6940831,-40.3620505,,Alto Novo
data_with_coordinates.js,2025-01-08T03:00:00.000Z,-4.9384655,-37.9819792,,Planalto
data_with_coordinates.js,2025-01-08T03:00:00.000Z,-3.7235104,-38.5772301,,Floresta
data_with_coordinates.js,2025-01-08T03:00:00.000Z,-3.8397923,-38.5295265,,Conjunto Palmeiras
data_with_coordinates.js,2025-01-08T03:00:00.000Z,-4.0100879,-40.0439114,,Taperuaba
data_with_coordinates.js,2025-01-08T03:00:00.000Z,-3.8881011,-38.6187935,,José Walter
data_with_coordinates.js,2025-01-08T03:00:00.000Z,-5.5397821,-40.7748475,,Colinas
data_with_coordinates.js,2025-01-08T03:00:00.000Z,-3.9419835,-38.3235912,,Iguape
data_with_coordinates.js,2025-01-08T03:00:00.000Z,-3.8917179,-38.6841257,,Novo Maranguape
data_with_coordinates.js,2025-01-08T03:00:00.000Z,-7.2797972,-39.3209141,,Bulandeira
data_with_coordinates.js,2025-01-08T03:00:00.000Z,-4.5566911,-37.7555968,,Vila Rafael
data_with_coordinates.js,2025-01-08T03:00:00.000Z,-3.9222769,-38.5188625,,Caracanga
data_with_coordinates.js,2025-01-08T03:00:00.000Z,-3.73671,-38.53267,,Alto do Cruzeiro
data_with_coordinates.js,2025-01-08T03:00:00.000Z,-3.7330777,-38.5786277,,Presidente Kennedy
data_with_coordinates.js,2025-01-08T03:00:00.000Z,-3.8359388,-40.9709807,,Olinda
data_with_coordinates.js,2025-01-08T03:00:00.000Z,-3.5914959,-39.060966,,Ômega
data_with_coordinates.js,2025-01-08T03:00:00.000Z,-3.7453824,-38.5712128,,Sagrado Coração
data_with_coordinates.js,2025-01-08T03:00:00.000Z,-3.9731779,-38.5294297,,Centro
data_with_coordinates.js,2025-01-08T03:00:00.000Z,-4.3286135,-38.8775967,,Alto da Cruz
data_with_coordinates.js,2025-01-08T03:00:00.000Z,-4.9716543,-39.0275564,,Combate
data_with_coordinates.js,2025-01-08T03:00:00.000Z,-5.2420964,-38.1232222,,8 de Setembro
data_with_coordinates.js,2025-01-08T03:00:00.000Z,-3.7038011,-38.6421344,,Guajiru
data_with_coordinates.js,2025-01-08T03:00:00.000Z,-3.6890345,-38.6570862,,Jardim Icaraí
data_with_coordinates.js,2025-01-08T03:00:00.000Z,-4.1635592,-40.7492386,,Centro
data_with_coordinates.js,2025-01-08T03:00:00.000Z,-5.1938073,-39.2939158,,Centro
data_with_coordinates.js,2025-01-08T03:00:00.000Z,-7.0419359,-39.2728517,,Bico da Arara
data_with_coordinates.js,2025-01-09T03:00:00.000Z,-3.7170144,-38.555215,,Carlito Pamplona
data_with_coordinates.js,2025-01-09T03:00:00.000Z,-3.7295722,-38.5555422,,São Gerardo
data_with_coordinates.js,2025-01-09T03:00:00.000Z,-3.3153512,-40.0179667,,Zona Rural
data_with_coordinates.js,2025-01-09T03:00:00.000Z,-6.3600983,-39.2958336,,Centro
