id,data,bairro_assigned,cidade_norm,latitude,longitude,tipo,tipo_evento
9742,2025-03-08,Parque Dois Irmăos,fortaleza,-3.8147255455,-38.5442843766,cvli,HOMICIDIO DOLOSO
9743,2025-03-08,Jangurussu,fortaleza,-3.8520299171,-38.5156745889,cvli,HOMICIDIO DOLOSO
9751,2025-03-08,Cidade Dos Funcionários,fortaleza,-3.7962139885,-38.5006783658,cvli,HOMICIDIO DOLOSO
9755,2025-03-09,Salinas,fortaleza,-3.7709861626,-38.498798775,cvli,HOMICIDIO DOLOSO
9772,2025-03-12,Cidade Dos Funcionários,fortaleza,-3.7879883692,-38.5065640039,cvli,HOMICIDIO DOLOSO
9773,2025-03-12,Vila Velha,fortaleza,-3.7134060348,-38.6082985861,cvli,HOMICIDIO DOLOSO
9775,2025-03-12,Granja Lisboa,fortaleza,-3.7865363366,-38.6138378327,cvli,HOMICIDIO DOLOSO
9777,2025-03-12,Jangurussu,fortaleza,-3.8538058241,-38.5171069991,cvli,HOMICIDIO DOLOSO
9782,2025-03-13,Barroso,fortaleza,-3.8285896864,-38.521378175,cvli,HOMICIDIO DOLOSO
9788,2025-03-14,Manoel Sátiro,fortaleza,-3.7939204738,-38.5750751073,cvli,HOMICIDIO DOLOSO
9795,2025-03-15,Prefeito José Walter,fortaleza,-3.8304439572,-38.5546894054,cvli,HOMICIDIO DOLOSO
9796,2025-03-15,Henrique Jorge,fortaleza,-3.7596475732,-38.5855448343,cvli,HOMICIDIO DOLOSO
9798,2025-03-15,Bonsucesso,fortaleza,-3.7760336518,-38.5890977054,cvli,HOMICIDIO DOLOSO
9804,2025-03-16,Messejana,fortaleza,-3.8318119767,-38.4996520208,cvli,HOMICIDIO DOLOSO
9820,2025-03-17,Aracapé,fortaleza,-3.8241559912,-38.5869444039,cvli,HOMICIDIO DOLOSO
9822,2025-03-17,Cristo Redentor,fortaleza,-3.7093768899,-38.5684266039,cvli,HOMICIDIO DOLOSO
9824,2025-03-17,Siqueira,fortaleza,-3.8032576857,-38.6059744615,cvli,HOMICIDIO DOLOSO
9827,2025-03-18,Granja Lisboa,fortaleza,-3.7888032531,-38.6180556039,cvli,HOMICIDIO DOLOSO
9829,2025-03-18,Floresta,fortaleza,-3.7151958774,-38.579150275,cvli,HOMICIDIO DOLOSO
9831,2025-03-19,Mondubim,fortaleza,-3.8319616767,-38.5622314039,cvli,HOMICIDIO DOLOSO
9832,2025-03-19,Conjunto Ceará Ii,fortaleza,-3.7709073457,-38.6075245327,cvli,HOMICIDIO DOLOSO
9833,2025-03-19,Vicente Pinzón,fortaleza,-3.7285575656,-38.465822575,cvli,HOMICIDIO DOLOSO
9834,2025-03-19,Siqueira,fortaleza,-3.8174531861,-38.6189191039,cvli,HOMICIDIO DOLOSO
9838,2025-03-19,José De Alencar,fortaleza,-3.8139469951,-38.4732679106,cvli,HOMICIDIO DOLOSO
9841,2025-03-20,Granja Lisboa,fortaleza,-3.7830798798,-38.6147135462,cvli,HOMICIDIO DOLOSO
9843,2025-03-20,Cristo Redentor,fortaleza,-3.7075291946,-38.5639634662,cvli,HOMICIDIO DOLOSO
9845,2025-03-20,Papicu,fortaleza,-3.7378311842,-38.4760824327,cvli,HOMICIDIO DOLOSO
9850,2025-03-21,Bom Jardim,fortaleza,-3.7925424695,-38.6083324631,cvli,HOMICIDIO DOLOSO
9856,2025-03-21,Bom Jardim,fortaleza,-3.7925424695,-38.6083324631,cvli,HOMICIDIO DOLOSO
9859,2025-03-22,Salinas,fortaleza,-3.7704741962,-38.4988250343,cvli,HOMICIDIO DOLOSO
9861,2025-03-22,Parangaba,fortaleza,-3.7900516404,-38.574458874,cvli,HOMICIDIO DOLOSO
9863,2025-03-22,Pirambu,fortaleza,-3.7121678088,-38.5484227986,cvli,HOMICIDIO DOLOSO
9867,2025-03-22,Edson Queiroz,fortaleza,-3.7732381683,-38.4733874766,cvli,HOMICIDIO DOLOSO
9868,2025-03-22,Cristo Redentor,fortaleza,-3.7082823453,-38.5647079343,cvli,HOMICIDIO DOLOSO
9869,2025-03-23,Vicente Pinzón,fortaleza,-3.7279374656,-38.4683815462,cvli,HOMICIDIO DOLOSO
9870,2025-03-23,Conjunto Ceará I,fortaleza,-3.7650413621,-38.6020844174,cvli,HOMICIDIO DOLOSO
9872,2025-03-23,Conjunto Palmeiras,fortaleza,-3.8435931961,-38.5288179615,cvli,HOMICIDIO DOLOSO
9877,2025-03-24,Conjunto Palmeiras,fortaleza,-3.8430127773,-38.5222222039,cvli,HOMICIDIO DOLOSO
9878,2025-03-24,Cidade Dos Funcionários,fortaleza,-3.7899571747,-38.5027778039,cvli,HOMICIDIO DOLOSO
9887,2025-03-25,Granja Lisboa,fortaleza,-3.7861110962,-38.6161432904,cvli,HOMICIDIO DOLOSO
9889,2025-03-25,Parque Dois Irmăos,fortaleza,-3.8166198861,-38.5440747462,cvli,HOMICIDIO DOLOSO
9891,2025-03-25,Jangurussu,fortaleza,-3.8330556627,-38.5262766505,cvli,HOMICIDIO DOLOSO
9892,2025-03-25,Jangurussu,fortaleza,-3.8330556627,-38.5262766505,cvli,HOMICIDIO DOLOSO
9893,2025-03-26,Vicente Pinzón,fortaleza,-3.7308969743,-38.4697329327,cvli,HOMICIDIO DOLOSO
9895,2025-03-26,Passaré,fortaleza,-3.8217511446,-38.5269076721,cvli,HOMICIDIO DOLOSO
9896,2025-03-26,José Bonifácio,fortaleza,-3.7394544014,-38.5289532761,cvli,HOMICIDIO DOLOSO
9897,2025-03-26,José Bonifácio,fortaleza,-3.7394544014,-38.5289532761,cvli,HOMICIDIO DOLOSO
9898,2025-03-26,José Bonifácio,fortaleza,-3.7394544014,-38.5289532761,cvli,HOMICIDIO DOLOSO
9899,2025-03-26,Barra Do Ceará,fortaleza,-3.7064030459,-38.5905849671,cvli,HOMICIDIO DOLOSO
9901,2025-03-26,Passaré,fortaleza,-3.8201977763,-38.5241085174,cvli,HOMICIDIO DOLOSO
9902,2025-03-27,Messejana,fortaleza,-3.8221847287,-38.5025000039,cvli,HOMICIDIO DOLOSO
9905,2025-03-27,Vicente Pinzón,fortaleza,-3.7318600901,-38.4681049327,cvli,HOMICIDIO DOLOSO
9909,2025-03-27,Itaoca,fortaleza,-3.7697544793,-38.5558360039,cvli,HOMICIDIO DOLOSO
9911,2025-03-28,Barra Do Ceará,fortaleza,-3.7077670899,-38.5874678189,cvli,HOMICIDIO DOLOSO
9913,2025-03-28,Barra Do Ceará,fortaleza,-3.7072447835,-38.5708252343,cvli,HOMICIDIO DOLOSO
9914,2025-03-28,Vicente Pinzón,fortaleza,-3.7279355656,-38.4701013189,cvli,HOMICIDIO DOLOSO
9916,2025-03-28,Vicente Pinzón,fortaleza,-3.7279355656,-38.4701013189,cvli,HOMICIDIO DOLOSO
9922,2025-03-29,Conjunto Palmeiras,fortaleza,-3.8437730632,-38.5245303073,cvli,HOMICIDIO DOLOSO
9925,2025-03-30,Manuel Dias Branco,fortaleza,-3.7615008275,-38.4694161462,cvli,HOMICIDIO DOLOSO
9926,2025-03-30,Edson Queiroz,fortaleza,-3.7743862628,-38.4553601327,cvli,HOMICIDIO DOLOSO
9929,2025-03-30,Prefeito José Walter,fortaleza,-3.8268694617,-38.5511111039,cvli,HOMICIDIO DOLOSO
9932,2025-03-30,Mondubim,fortaleza,-3.8285983668,-38.5612110615,cvli,HOMICIDIO DOLOSO
9938,2025-03-31,Cidade Dos Funcionários,fortaleza,-3.7983158394,-38.5022181798,cvli,HOMICIDIO DOLOSO
9942,2025-03-31,Papicu,fortaleza,-3.7384831722,-38.4833121904,cvli,HOMICIDIO DOLOSO
9944,2025-04-01,Praia Do Futuro I,fortaleza,-3.7469309438,-38.4503434634,cvli,HOMICIDIO DOLOSO
9945,2025-04-01,Praia Do Futuro I,fortaleza,-3.7469309438,-38.4503434634,cvli,HOMICIDIO DOLOSO
9953,2025-04-02,Edson Queiroz,fortaleza,-3.772317285,-38.473579675,cvli,HOMICIDIO DOLOSO
9957,2025-04-03,Manuel Dias Branco,fortaleza,-3.7557190846,-38.4693399174,cvli,HOMICIDIO DOLOSO
9958,2025-04-03,Barra Do Ceará,fortaleza,-3.6960902832,-38.5790505327,cvli,HOMICIDIO DOLOSO
9963,2025-04-04,Vicente Pinzón,fortaleza,-3.7265311778,-38.464150775,cvli,HOMICIDIO DOLOSO
9968,2025-04-05,Jangurussu,fortaleza,-3.8504715762,-38.5133322571,cvli,HOMICIDIO DOLOSO
9969,2025-04-05,Vicente Pinzón,fortaleza,-3.7282721962,-38.4732144631,cvli,HOMICIDIO DOLOSO
9973,2025-04-05,Cais Do Porto,fortaleza,-3.7102783899,-38.4652524919,cvli,HOMICIDIO DOLOSO
9975,2025-04-06,Bom Jardim,fortaleza,-3.7934251802,-38.6014141039,cvli,HOMICIDIO DOLOSO
9976,2025-04-06,Serrinha,fortaleza,-3.7793937797,-38.5465732039,cvli,HOMICIDIO DOLOSO
9980,2025-04-06,Vila Velha,fortaleza,-3.7138552963,-38.6019436327,cvli,HOMICIDIO DOLOSO
9985,2025-04-07,Cidade 2000,fortaleza,-3.7505341845,-38.4716452462,cvli,HOMICIDIO DOLOSO
9993,2025-04-08,Joaquim Távora,fortaleza,-3.7399111372,-38.5215415076,cvli,HOMICIDIO DOLOSO
9994,2025-04-08,Passaré,fortaleza,-3.8132284962,-38.5359457327,cvli,HOMICIDIO DOLOSO
9995,2025-04-09,Planalto Ayrton Senna,fortaleza,-3.8364666865,-38.5772221327,cvli,HOMICIDIO DOLOSO
