Controle,Data,Natureza,BairroOcor,bairro_norm,CidadeOcor,total_armas_cache,total_drogas_cache,Dinheiro_Apreendido,lat_ibge,long_ibge
35317,2025-06-06,APRESENTAÇÃO E APRRENSÃO DE OBJETOS,José Ózimo,José Bonifácio,Tauá,0,0.0,,,
35318,2025-06-06,AMEAÇA - Art. 147/CPB,Olavo Oliveira,Olavo Oliveira,Fortaleza,0,0.0,,,
35319,2025-06-06,CONSUMO DE ENTORPECENTES - Art. 28/Lei nº 11.343/2006,"Morada dos Ventos 3,",Praia Do Futuro I,Crateús,0,36.0,,,
35320,2025-06-06,APRESENTAÇÃO E APREENSÃO DE ARMA DE FOGO,Taperuaba,Itaperi,Sobral,1,110.0,,,
35321,2025-06-06,VEÍCULO CLONADO,Dois de Agosto,Cais Do Porto,Morada Nova,0,0.0,,,
35323,2025-06-06,VEÍCULO LOCALIZADO,Centro,Centro,Fortaleza,0,0.0,,,
35324,2025-06-06,TRÁFICO DE DROGAS,Álvaro Weyne,Álvaro Weyne,Fortaleza,0,16.0,,,
35326,2025-06-06,DESOBEDIÊNCIA - Art. 330/CPB; DIREÇÃO PERIGOSA - Art.175/CTB,Jardim Bandeirante,Jardim Iracema,Maracanaú,0,0.0,,,
35327,2025-06-06,PORTE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO; TRÁFICO DE DROGAS,Parajuru,Cararu,Beberibe,1,191.0,,,
35328,2025-06-06,TRÁFICO DE DROGAS,"Coió de Cima,",Praia De Iracema,Baturité,0,36.0,150.0,,
35329,2025-06-07,APRESENTAÇÃO E APREENSÃO DE ARMA DE FOGO,Picuí,Papicu,Caucaia,1,0.0,,,
35331,2025-06-06,TRÁFICO DE DROGAS; DIREÇÃO PERIGOSA - Art.175/CTB; RESISTÊNCIA - Art. 329/CPB,Pedrinhas,Pedras,Acaraú,0,7.0,360.0,,
35332,2025-06-06,POSSE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO - Art. 12/Lei nº 10.826/2003,Centro,Centro,Marco,1,0.0,,,
35333,2025-06-07,MANDADO DE PRISÃO,Centro,Centro,Brejo Santo,0,0.0,,,
35334,2025-06-07,APRESENTAÇÃO E APREENSÃO DE ARMA DE FOGO,Zona Rural,Granja Portugal,Nova Russas,1,0.0,,,
35335,2025-06-07,VEÍCULO LOCALIZADO,Barra Do Ceará,Barra Do Ceará,Fortaleza,0,0.0,,,
35336,2025-06-07,APRESENTAÇÃO E APREENSÃO DE ARMA DE FOGO,Zona Rural,Granja Portugal,Jaguaruana,1,0.0,,,
35337,2025-06-07,POSSE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO - Art. 12/Lei nº 10.826/2003,Zona Rural,Granja Portugal,Russas,1,0.0,,,
35338,2025-06-07,APRESENTAÇÃO E APRRENSÃO DE OBJETOS,Rodolfo Teófilo,Rodolfo Teófilo,Fortaleza,0,0.0,800.0,,
35339,2025-06-07,APRESENTAÇÃO E APREENSÃO DE ARMA DE FOGO,Zona Rural,Granja Portugal,Forquilha,1,0.0,,,
35340,2025-06-07,ADULTERAÇÃO DE VEÍCULO - Art. 311/CPB,Zona Rural,Granja Portugal,Lavras da Mangabeira,0,0.0,,,
35341,2025-06-07,PORTE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO,Vila Holanda,Vila Velha,Boa Viagem,1,0.0,,,
35342,2025-06-07,ADULTERAÇÃO DE VEÍCULO - Art. 311/CPB,"Bola Branca, Sucesso",Bonsucesso,Tamboril,0,0.0,,,
35343,2025-06-07,TRÁFICO DE DROGAS,São Pedro,São Gerardo,Camocim,0,2.2,14.0,,
35344,2025-06-07,APRESENTAÇÃO E APREENSÃO DE ARMA DE FOGO,Aldeia Park,Aldeota,Pacajus,1,0.0,,,
35346,2025-06-07,MANDADO DE PRISÃO,Caiçara,Cararu,Sobral,0,0.0,,,
35347,2025-06-07,TRÁFICO DE DROGAS,Genibaú,Genibaú,Fortaleza,0,25.0,120.0,,
35348,2025-06-07,NÃO DELITUOSO,Zona Rural,Granja Portugal,Acopiara,0,0.0,,,
35349,2025-06-07,ADULTERAÇÃO DE VEÍCULO - Art. 311/CPB,Caponga,Maraponga,Cascavel,0,0.0,,,
35350,2025-06-07,PORTE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO; RECEPTAÇÃO - Art. 180/CPB,José Bonifácio,José Bonifácio,Fortaleza,1,0.0,,,
35351,2025-06-07,TRÁFICO DE DROGAS; POSSE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO - Art. 12/Lei nº 10.826/2003; ASSOCIAÇÃO CRIMINOSA (FORMAÇÃO DE QUADRILHA) - Art. 288/CPB,Centro,Centro,Baturité,1,390.0,466.0,,
35352,2025-06-08,APOIO À AUTORIDADE,Sapiranga,Sapiranga / Coité,Fortaleza,0,0.0,,,
35353,2025-06-07,MANDADO DE PRISÃO,Zona Rural,Granja Portugal,Cruz,0,0.0,,,
35354,2025-06-08,MANDADO DE PRISÃO; ROUBO; APRESENTAÇÃO E APRRENSÃO DE OBJETOS; APRESENTAÇÃO E APREENSÃO DE VEÍCULO; RECEPTAÇÃO - Art. 180/CPB,Antônio Bezerra,Antônio Bezerra,Fortaleza,0,0.0,10.0,,
35355,2025-06-08,APRESENTAÇÃO E APREENSÃO DE DROGAS,Mondubim,Mondubim,Fortaleza,0,24.0,,,
35356,2025-06-08,RECEPTAÇÃO - Art. 180/CPB,Autramn Nunes,Autran Nunes,Fortaleza,0,0.0,,,
35357,2025-06-08,VEÍCULO LOCALIZADO,Aeroporto,Aeroporto,Juazeiro do Norte,0,0.0,,,
35358,2025-06-08,VEÍCULO LOCALIZADO,Padre Júlio Maria,Parque Santa Maria,Caucaia,0,0.0,,,
35359,2025-06-08,VEÍCULO LOCALIZADO,Centro,Centro,Aracoiaba,0,0.0,,,
