agencia,ais,area_faccao,arma,bairro,cidade,comment,consolidado,data,database,editar,excluir,hora,id,id_evento,idade,latitude,longitude,name,sexo,tipo,tipo_evento,type,version,dia_semana,eh_feriado,dia_quente_cvp,clima,precipitacao_mm,qtd_mortes,nature,ais_original,regiao_risp
2.0,AIS 03,,,,Sobral,,Sim,2026-05-02,,,,08:59:01,78302,4424374.0,,-4.1626859861,-40.7501953401,PRAÇA 09 DE JANEIRO,NONE,cvp,ROUBO A PESSOA,,,Sábado,False,True,,,,ROUBO A PESSOA,AIS 03,NORTE
2.0,AIS 16,,,MESSEJANA,Fortaleza,,Sim,2026-05-02,,,,19:43:40,78301,4424329.0,,-3.834609407,-38.4917827806,RUA RAIMUNDO CARLOS RODRIGUES,NONE,cvp,ROUBO A PESSOA,,,Sábado,False,True,,,,ROUBO A PESSOA,AIS 16,CAPITAL LESTE
2.0,AIS 08,,,ALDEOTA,Fortaleza,,Sim,2026-05-02,,,,20:27:08,78300,4424330.0,,-3.7376478707,-38.497528943,RUA BARBOSA DE FREITAS,NONE,cvp,ROUBO A PESSOA,,,Sábado,False,True,,,,ROUBO A PESSOA,AIS 21,CAPITAL LESTE
2.0,AIS 18,,,MOURA BRASIL,Fortaleza,,Sim,2026-05-02,,,,20:40:49,78299,4424331.0,,-3.7192284871,-38.5297473551,AVENIDA PRESIDENTE CASTELO BRANCO,NONE,cvp,ROUBO A PESSOA,,,Sábado,False,True,,,,ROUBO A PESSOA,AIS 08,CAPITAL OESTE
2.0,AIS 06,,,HENRIQUE JORGE,Fortaleza,,Sim,2026-05-02,,,,06:59:49,78298,4424324.0,,-3.7597007196,-38.5874962178,RUA ARACAJÚ,NONE,cvp,ROUBO A PESSOA,,,Sábado,False,True,,,,ROUBO A PESSOA,AIS 06,CAPITAL OESTE
2.0,AIS 21,,,CIDADE DOS FUNCIONÁRIOS,Fortaleza,,Sim,2026-05-02,,,,11:57:27,78297,4424325.0,,-3.79522242,-38.5010723954,RUA ANTÔNIO DE CASTRO,NONE,cvp,ROUBO A PESSOA,,,Sábado,False,True,,,,ROUBO A PESSOA,AIS 21,CAPITAL OESTE
2.0,AIS 17,,,CONJUNTO CEARÁ I,Fortaleza,,Sim,2026-05-02,,,,13:30:37,78296,4424326.0,,-3.7634688407,-38.6116304931,RUA 1165,NONE,cvp,ROUBO A PESSOA,,,Sábado,False,True,,,,ROUBO A PESSOA,AIS 06,CAPITAL OESTE
2.0,AIS 08,,,CAIS DO PORTO,Fortaleza,,Sim,2026-05-02,,,,14:31:35,78295,4424327.0,,-3.7125954069,-38.4662532184,RUA GENERAL MURILO BORGES,NONE,cvp,ROUBO A PESSOA,,,Sábado,False,True,,,,ROUBO A PESSOA,AIS 08,CAPITAL LESTE
2.0,,,,GENTILÂNDIA,Fortaleza,,Sim,2026-05-02,,,,00:56:03,78294,4424322.0,,-3.7434669136,-38.5400858831,RUA PADRE FRANCISCO PINTO,NONE,cvp,ROUBO A PESSOA C/ CONSTRANGIMENTO DA LIBERDADE,,,Sábado,False,True,,,,ROUBO A PESSOA C/ CONSTRANGIMENTO DA LIBERDADE,AIS 21,
2.0,AIS 08,,,MEIRELES,Fortaleza,,Sim,2026-05-01,,,,16:20:10,78293,4424317.0,,-3.7265717926,-38.4961325691,RUA VISCONDE DE MAUÁ,NONE,cvp,ROUBO A PESSOA,,,Sexta-feira,True,True,,,,ROUBO A PESSOA,AIS 08,CAPITAL LESTE
2.0,AIS 19,,,PRAIA DO FUTURO I,Fortaleza,,Sim,2026-05-01,,,,14:14:47,78292,4424315.0,,-3.7420019394,-38.4508364059,AVENIDA CLÓVIS ARRAIS MAIA,NONE,cvp,ROUBO A PESSOA,,,Sexta-feira,True,True,,,,ROUBO A PESSOA,AIS 08,CAPITAL LESTE
2.0,AIS 08,,,MUCURIPE,Fortaleza,,Sim,2026-05-01,,,,17:08:17,78291,4424318.0,,-3.7293758824,-38.4829440123,AVENIDA ÁLVARO CORREIA,NONE,cvp,ROUBO A PESSOA,,,Sexta-feira,True,True,,,,ROUBO A PESSOA,AIS 08,CAPITAL LESTE
2.0,AIS 16,,,MESSEJANA,Fortaleza,,Sim,2026-05-01,,,,09:54:06,78290,4424312.0,,-3.8247302347,-38.4877326125,LEVADA,NONE,cvp,ROUBO A PESSOA,,,Sexta-feira,True,True,,,,ROUBO A PESSOA,AIS 16,CAPITAL LESTE
