micronodo,area_oficial,faction,lat,long,cvli_count_500m,cvli_count_1km,cvli_count_2km,cvli_count_total
Beco da Bomba - Sabiaguaba,SABIAGUABA,CV,-3.810127,-38.42740878566556,7,9,9,9
Cidade de Itaiçaba,ITAIÇABA,CV,-4.681476,-37.823155787538354,8,9,13,13
Mutirão ,JAGUARIBE,TCP/GDE,-5.886714,-38.6090350818582,8,9,9,9
Rosário ,MORADA NOVA,TCP/GDE,-5.1116565000000005,-38.37389625733785,9,9,9,9
LAGOA DO TOCO - RUSSAS - PCC,QUIXERE,PCC,-4.9239245,-37.97543353154624,9,9,9,9
Planalto Horizonte,HORIZONTE,CV,-4.109450000000001,-38.4832905660064,8,9,9,9
Alto Cristo,MERUOCA,CV,-3.6872725,-40.35932386165148,6,9,9,9
Vila Holanda,BOA VIAGEM,PCC,-5.1368565,-39.7373092168616,9,9,9,17
Paraíso Verde,SALINAS,CV,-3.7689865,-38.49704268619452,9,9,9,9
Sem Terra - Aquiraz ,AQUIRAZ,CV,-3.904631,-38.377993303245525,9,9,9,9
Cidade de Tururu,TURURU,CV,-3.600755,-39.43546777413762,8,9,12,25
Alto da alvorada - Mucunã ,MARACANAÚ,CV,-3.844607,-38.661673195606696,2,9,15,15
Mutirão ,JUAZEIRO DO NORTE,PCC,-7.235951999999999,-39.33963530750965,5,9,9,9
Itapebussu,MARANGUAPE,CV,-4.029199500000001,-38.92553186153829,3,9,11,11
Laje da Colônia ,CRISTO REDENTOR,CV,-3.706008,-38.56945544985152,9,9,9,9
Alto São Francisco,QUIXADA,CV,-4.9658455,-39.0025190148568,6,8,12,16
Carandiru,VILA UNIĂO,CV,-3.76337,-38.52919034070796,6,8,8,8
COMUNIDADE CAIXA DÁGUA,MANOEL SÁTIRO,CV,-3.7976865,-38.581553294166135,8,8,8,8
Ceasa,TIANGUA,TCP/GDE,-3.716393,-40.99832735073834,6,8,8,8
Comunidade Reino Encantado,ÁLVARO WEYNE,CV,-3.7186685,-38.56785518993654,8,8,8,8
Morro do Oitão Preto ou Moura brasil,MOURA BRASIL,CV,-3.7189005,-38.5372795478396,8,8,8,8
Caveca,PARQUE IRACEMA,MASSA,-3.816608,-38.50131848045977,8,8,8,8
Cruz das Almas,PACAJUS,CV,-4.166677,-38.45635646764106,6,8,8,8
Beco da Rocinha ,PARQUE IRACEMA,MASSA,-3.807772,-38.49614032124682,2,8,10,10
Areias II,IGUATU,CV,-6.3492835,-39.31129848413984,2,8,8,8
